DateID,OrderDate,Year,Month,Day,Quarter
100,2024-11-23,2024,11,23,4
101,2024-05-26,2024,5,26,2
102,2025-03-22,2025,3,22,1
103,2025-04-18,2025,4,18,2
104,2025-02-14,2025,2,14,1
105,2024-09-24,2024,9,24,3
106,2024-05-19,2024,5,19,2
107,2024-10-02,2024,10,2,4
108,2024-09-21,2024,9,21,3
109,2024-12-03,2024,12,3,4
110,2024-09-29,2024,9,29,3
111,2025-04-28,2025,4,28,2
112,2024-12-17,2024,12,17,4
113,2024-03-21,2024,3,21,1
114,2024-07-30,2024,7,30,3
115,2024-06-04,2024,6,4,2
116,2024-02-01,2024,2,1,1
117,2024-03-30,2024,3,30,1
118,2024-01-18,2024,1,18,1
119,2024-01-14,2024,1,14,1
120,2025-04-29,2025,4,29,2
121,2025-01-13,2025,1,13,1
122,2024-11-11,2024,11,11,4
123,2025-03-20,2025,3,20,1
124,2024-04-13,2024,4,13,2
125,2025-01-21,2025,1,21,1
126,2025-03-18,2025,3,18,1
127,2024-07-14,2024,7,14,3
128,2025-05-01,2025,5,1,2
129,2024-11-16,2024,11,16,4
130,2024-04-20,2024,4,20,2
131,2024-01-13,2024,1,13,1
132,2025-04-09,2025,4,9,2
133,2024-03-27,2024,3,27,1
134,2024-08-20,2024,8,20,3
135,2025-04-17,2025,4,17,2
136,2024-02-03,2024,2,3,1
137,2024-08-29,2024,8,29,3
138,2024-07-17,2024,7,17,3
139,2024-04-19,2024,4,19,2
140,2025-01-06,2025,1,6,1
141,2024-04-23,2024,4,23,2
142,2024-10-27,2024,10,27,4
143,2025-03-01,2025,3,1,1
144,2024-07-29,2024,7,29,3
145,2024-06-22,2024,6,22,2
146,2024-11-22,2024,11,22,4
147,2025-03-17,2025,3,17,1
148,2024-04-27,2024,4,27,2
149,2024-09-07,2024,9,7,3
150,2024-06-15,2024,6,15,2
151,2024-02-27,2024,2,27,1
152,2024-07-04,2024,7,4,3
153,2024-02-10,2024,2,10,1
154,2024-05-15,2024,5,15,2
155,2024-01-08,2024,1,8,1
156,2025-03-08,2025,3,8,1
157,2025-02-13,2025,2,13,1
158,2024-11-14,2024,11,14,4
159,2024-12-21,2024,12,21,4
160,2024-05-21,2024,5,21,2
161,2024-05-23,2024,5,23,2
162,2024-03-08,2024,3,8,1
163,2024-07-12,2024,7,12,3
164,2025-03-31,2025,3,31,1
165,2024-03-09,2024,3,9,1
166,2024-08-28,2024,8,28,3
167,2024-03-29,2024,3,29,1
168,2025-02-18,2025,2,18,1
169,2025-04-24,2025,4,24,2
170,2024-08-17,2024,8,17,3
171,2025-03-13,2025,3,13,1
172,2024-08-04,2024,8,4,3
173,2024-10-06,2024,10,6,4
174,2024-10-16,2024,10,16,4
175,2024-11-26,2024,11,26,4
176,2024-10-18,2024,10,18,4
177,2024-06-05,2024,6,5,2
178,2024-03-26,2024,3,26,1
179,2025-01-24,2025,1,24,1
180,2024-06-08,2024,6,8,2
181,2024-09-28,2024,9,28,3
182,2024-03-07,2024,3,7,1
183,2024-04-21,2024,4,21,2
184,2025-03-16,2025,3,16,1
185,2024-07-10,2024,7,10,3
186,2025-05-15,2025,5,15,2
187,2024-01-04,2024,1,4,1
188,2024-02-28,2024,2,28,1
189,2024-07-20,2024,7,20,3
190,2024-03-14,2024,3,14,1
191,2024-10-26,2024,10,26,4
192,2024-11-06,2024,11,6,4
193,2024-04-11,2024,4,11,2
194,2024-09-25,2024,9,25,3
195,2024-04-12,2024,4,12,2
196,2024-07-06,2024,7,6,3
197,2025-03-14,2025,3,14,1
198,2024-06-09,2024,6,9,2
199,2024-01-15,2024,1,15,1
200,2024-11-18,2024,11,18,4
201,2024-02-07,2024,2,7,1
202,2024-01-02,2024,1,2,1
203,2024-01-20,2024,1,20,1
204,2024-03-24,2024,3,24,1
205,2025-02-23,2025,2,23,1
206,2024-12-23,2024,12,23,4
207,2024-05-08,2024,5,8,2
208,2024-12-27,2024,12,27,4
209,2024-04-14,2024,4,14,2
210,2024-07-21,2024,7,21,3
211,2024-02-04,2024,2,4,1
212,2024-07-05,2024,7,5,3
213,2024-01-25,2024,1,25,1
214,2025-02-25,2025,2,25,1
215,2024-10-05,2024,10,5,4
216,2024-03-06,2024,3,6,1
217,2024-01-17,2024,1,17,1
218,2024-11-30,2024,11,30,4
219,2025-04-21,2025,4,21,2
220,2025-05-11,2025,5,11,2
221,2025-04-03,2025,4,3,2
222,2025-04-11,2025,4,11,2
223,2024-09-15,2024,9,15,3
224,2024-01-05,2024,1,5,1
225,2024-02-23,2024,2,23,1
226,2024-09-30,2024,9,30,3
227,2024-10-14,2024,10,14,4
228,2024-01-30,2024,1,30,1
229,2024-04-30,2024,4,30,2
230,2024-12-14,2024,12,14,4
231,2024-10-11,2024,10,11,4
232,2024-02-05,2024,2,5,1
233,2024-05-31,2024,5,31,2
234,2024-02-21,2024,2,21,1
235,2024-04-07,2024,4,7,2
236,2024-11-19,2024,11,19,4
237,2024-02-06,2024,2,6,1
238,2024-08-30,2024,8,30,3
239,2025-01-09,2025,1,9,1
240,2024-02-29,2024,2,29,1
241,2024-06-23,2024,6,23,2
242,2025-05-10,2025,5,10,2
243,2024-04-28,2024,4,28,2
244,2024-04-04,2024,4,4,2
245,2024-02-25,2024,2,25,1
246,2024-12-15,2024,12,15,4
247,2025-02-02,2025,2,2,1
248,2024-10-25,2024,10,25,4
249,2024-09-02,2024,9,2,3
250,2024-04-08,2024,4,8,2
251,2024-01-12,2024,1,12,1
252,2024-03-11,2024,3,11,1
253,2024-02-15,2024,2,15,1
254,2024-05-04,2024,5,4,2
255,2024-07-23,2024,7,23,3
256,2024-03-31,2024,3,31,1
257,2024-06-03,2024,6,3,2
258,2024-01-31,2024,1,31,1
259,2024-08-07,2024,8,7,3
260,2025-04-04,2025,4,4,2
261,2025-01-17,2025,1,17,1
262,2024-12-16,2024,12,16,4
263,2024-03-01,2024,3,1,1
264,2024-02-18,2024,2,18,1
265,2025-04-30,2025,4,30,2
266,2024-10-01,2024,10,1,4
267,2025-03-12,2025,3,12,1
268,2025-01-30,2025,1,30,1
269,2025-01-05,2025,1,5,1
270,2025-02-27,2025,2,27,1
271,2024-11-12,2024,11,12,4
272,2024-05-13,2024,5,13,2
273,2025-03-30,2025,3,30,1
274,2024-09-13,2024,9,13,3
275,2025-01-01,2025,1,1,1
276,2025-03-21,2025,3,21,1
277,2024-01-07,2024,1,7,1
278,2024-08-31,2024,8,31,3
279,2024-05-12,2024,5,12,2
280,2024-05-11,2024,5,11,2
281,2024-11-13,2024,11,13,4
282,2024-04-03,2024,4,3,2
283,2025-04-07,2025,4,7,2
284,2024-07-07,2024,7,7,3
285,2025-02-12,2025,2,12,1
286,2024-11-04,2024,11,4,4
287,2024-08-09,2024,8,9,3
288,2024-09-10,2024,9,10,3
289,2024-05-27,2024,5,27,2
290,2024-12-08,2024,12,8,4
291,2024-09-14,2024,9,14,3
292,2025-02-26,2025,2,26,1
293,2024-10-30,2024,10,30,4
294,2024-07-02,2024,7,2,3
295,2025-05-08,2025,5,8,2
296,2024-05-05,2024,5,5,2
297,2025-01-15,2025,1,15,1
298,2024-07-18,2024,7,18,3
299,2025-03-25,2025,3,25,1
300,2024-06-10,2024,6,10,2
301,2025-04-13,2025,4,13,2
302,2024-11-01,2024,11,1,4
303,2024-10-17,2024,10,17,4
304,2024-04-26,2024,4,26,2
305,2024-06-13,2024,6,13,2
306,2025-01-26,2025,1,26,1
307,2025-01-31,2025,1,31,1
308,2024-12-24,2024,12,24,4
309,2024-12-31,2024,12,31,4
310,2024-11-21,2024,11,21,4
311,2024-12-02,2024,12,2,4
312,2025-01-08,2025,1,8,1
313,2024-10-04,2024,10,4,4
314,2025-04-25,2025,4,25,2
315,2024-08-23,2024,8,23,3
316,2024-07-25,2024,7,25,3
317,2024-02-22,2024,2,22,1
318,2025-02-08,2025,2,8,1
319,2024-12-05,2024,12,5,4
320,2025-04-10,2025,4,10,2
321,2025-03-05,2025,3,5,1
322,2025-02-03,2025,2,3,1
323,2024-06-11,2024,6,11,2
324,2025-05-09,2025,5,9,2
325,2025-01-10,2025,1,10,1
326,2025-05-02,2025,5,2,2
327,2024-06-07,2024,6,7,2
328,2024-04-25,2024,4,25,2
329,2024-05-18,2024,5,18,2
330,2024-01-11,2024,1,11,1
331,2024-10-09,2024,10,9,4
332,2024-06-20,2024,6,20,2
333,2024-06-16,2024,6,16,2
334,2024-11-09,2024,11,9,4
335,2025-01-02,2025,1,2,1
336,2024-06-06,2024,6,6,2
337,2024-12-20,2024,12,20,4
338,2024-06-27,2024,6,27,2
339,2024-12-04,2024,12,4,4
340,2024-04-22,2024,4,22,2
341,2025-04-08,2025,4,8,2
342,2024-08-13,2024,8,13,3
343,2025-01-22,2025,1,22,1
344,2024-05-30,2024,5,30,2
345,2025-05-07,2025,5,7,2
346,2024-01-03,2024,1,3,1
347,2024-08-08,2024,8,8,3
348,2024-10-24,2024,10,24,4
349,2024-12-29,2024,12,29,4
350,2024-10-15,2024,10,15,4
351,2024-08-25,2024,8,25,3
352,2024-03-12,2024,3,12,1
353,2024-01-24,2024,1,24,1
354,2024-05-10,2024,5,10,2
355,2024-12-06,2024,12,6,4
356,2024-08-10,2024,8,10,3
357,2025-03-15,2025,3,15,1
358,2024-05-28,2024,5,28,2
359,2024-09-17,2024,9,17,3
360,2024-09-27,2024,9,27,3
361,2025-04-02,2025,4,2,2
362,2024-09-11,2024,9,11,3
363,2025-05-05,2025,5,5,2
364,2025-04-23,2025,4,23,2
365,2025-02-04,2025,2,4,1
366,2024-10-10,2024,10,10,4
367,2025-02-15,2025,2,15,1
368,2024-06-26,2024,6,26,2
369,2024-03-25,2024,3,25,1
370,2024-06-19,2024,6,19,2
371,2025-02-01,2025,2,1,1
372,2024-09-06,2024,9,6,3
373,2024-08-12,2024,8,12,3
374,2025-05-04,2025,5,4,2
375,2024-06-21,2024,6,21,2
376,2024-07-16,2024,7,16,3
377,2024-12-13,2024,12,13,4
378,2024-07-27,2024,7,27,3
379,2025-04-01,2025,4,1,2
380,2025-02-28,2025,2,28,1
381,2025-02-19,2025,2,19,1
382,2024-12-22,2024,12,22,4
383,2024-02-12,2024,2,12,1
384,2025-01-25,2025,1,25,1
385,2025-03-29,2025,3,29,1
386,2025-04-12,2025,4,12,2
387,2024-02-14,2024,2,14,1
388,2024-03-13,2024,3,13,1
389,2024-08-03,2024,8,3,3
390,2024-07-31,2024,7,31,3
391,2024-11-03,2024,11,3,4
392,2025-04-15,2025,4,15,2
393,2024-10-19,2024,10,19,4
394,2024-09-19,2024,9,19,3
395,2025-01-11,2025,1,11,1
396,2024-10-20,2024,10,20,4
397,2024-03-03,2024,3,3,1
398,2024-12-19,2024,12,19,4
399,2024-09-22,2024,9,22,3
400,2024-12-12,2024,12,12,4
401,2024-11-17,2024,11,17,4
402,2024-11-28,2024,11,28,4
403,2024-08-02,2024,8,2,3
404,2025-03-24,2025,3,24,1
405,2025-02-05,2025,2,5,1
406,2024-01-26,2024,1,26,1
407,2025-04-06,2025,4,6,2
408,2024-06-18,2024,6,18,2
409,2025-01-27,2025,1,27,1
410,2024-04-17,2024,4,17,2
411,2025-01-23,2025,1,23,1
412,2024-09-23,2024,9,23,3
413,2024-10-07,2024,10,7,4
414,2024-07-03,2024,7,3,3
415,2024-08-18,2024,8,18,3
416,2025-02-09,2025,2,9,1
417,2024-03-15,2024,3,15,1
418,2024-08-24,2024,8,24,3
419,2025-02-17,2025,2,17,1
420,2024-12-10,2024,12,10,4
421,2024-04-29,2024,4,29,2
422,2025-04-14,2025,4,14,2
423,2024-12-28,2024,12,28,4
424,2024-05-29,2024,5,29,2
425,2024-06-01,2024,6,1,2
426,2024-04-10,2024,4,10,2
427,2024-04-05,2024,4,5,2
428,2025-02-11,2025,2,11,1
429,2025-04-22,2025,4,22,2
430,2024-09-04,2024,9,4,3
431,2024-01-23,2024,1,23,1
432,2025-03-27,2025,3,27,1
433,2024-08-15,2024,8,15,3
434,2024-09-20,2024,9,20,3
435,2024-11-27,2024,11,27,4
436,2024-04-16,2024,4,16,2
437,2024-12-25,2024,12,25,4
438,2024-11-05,2024,11,5,4
439,2024-02-19,2024,2,19,1
440,2024-10-29,2024,10,29,4
441,2024-01-01,2024,1,1,1
442,2024-05-16,2024,5,16,2
443,2024-02-02,2024,2,2,1
444,2024-04-09,2024,4,9,2
445,2024-08-16,2024,8,16,3
446,2025-05-12,2025,5,12,2
447,2024-05-01,2024,5,1,2
448,2024-10-08,2024,10,8,4
449,2024-11-02,2024,11,2,4
450,2025-02-07,2025,2,7,1
451,2025-02-10,2025,2,10,1
452,2024-02-09,2024,2,9,1
453,2025-04-19,2025,4,19,2
454,2025-04-26,2025,4,26,2
455,2024-06-25,2024,6,25,2
456,2024-11-15,2024,11,15,4
457,2025-01-04,2025,1,4,1
458,2024-04-06,2024,4,6,2
459,2025-02-21,2025,2,21,1
460,2024-05-24,2024,5,24,2
461,2025-01-03,2025,1,3,1
462,2024-02-13,2024,2,13,1
463,2025-02-16,2025,2,16,1
464,2025-05-03,2025,5,3,2
465,2024-11-24,2024,11,24,4
466,2024-03-18,2024,3,18,1
467,2024-02-08,2024,2,8,1
468,2024-09-08,2024,9,8,3
469,2024-07-01,2024,7,1,3
470,2025-03-04,2025,3,4,1
471,2024-06-24,2024,6,24,2
472,2024-06-17,2024,6,17,2
473,2024-01-29,2024,1,29,1
474,2025-03-26,2025,3,26,1
475,2025-04-05,2025,4,5,2
476,2025-01-14,2025,1,14,1
477,2024-07-09,2024,7,9,3
478,2025-03-11,2025,3,11,1
479,2024-01-21,2024,1,21,1
480,2024-02-16,2024,2,16,1
481,2024-07-19,2024,7,19,3
482,2024-07-15,2024,7,15,3
483,2024-02-11,2024,2,11,1
484,2024-06-29,2024,6,29,2
485,2025-01-29,2025,1,29,1
486,2024-11-08,2024,11,8,4
487,2024-08-06,2024,8,6,3
488,2024-07-28,2024,7,28,3
489,2024-07-26,2024,7,26,3
490,2025-01-12,2025,1,12,1
491,2024-08-27,2024,8,27,3
492,2024-03-16,2024,3,16,1
